data,suma_testowanych,nowe_testowane,suma_testow,nowe_testy,nowe_testy_antygen,suma_POZ,nowe_POZ,suma_pozytywnych,nowe_pozytywne,suma_neg_i_powt_pozyt,neg_i_powt_pozyt                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
2.03.2020,,,559,,,,,0,0,559,
3.03.2020,,,584,25,,,,1,1,583,24
4.03.2020,,,676,92,,,,1,0,675,92
5.03.2020,,,855,179,,,,1,0,854,179
6.03.2020,,,855,0,,,,1,0,854,0
7.03.2020,,,1154,299,,,,8,7,1146,292
8.03.2020,,,1384,230,,,,16,8,1368,222
9.03.2020,,,1630,246,,,,17,1,1630,262
10.03.2020,,,2024,394,,,,25,8,1999,369
11.03.2020,,,2234,210,,,,47,22,2187,188
12.03.2020,,,2889,655,,,,58,11,2831,644
13.03.2020,,,4414,1525,,,,93,35,4321,1490
14.03.2020,,,5493,1079,,,,111,18,5382,1061
15.03.2020,,,5493,0,,,,111,0,5382,0
16.03.2020,,,7899,2406,,,,205,94,7694,2312
17.03.2020,,,9515,1616,,,,246,41,9269,1575
18.03.2020,,,11196,1681,,,,305,59,10891,1622
19.03.2020,,,13072,1876,,,,378,73,12694,1803
20.03.2020,,,15084,2012,,,,452,74,14632,1938
21.03.2020,,,17607,2523,,,,563,111,17044,2412
22.03.2020,,,20127,2520,,,,649,86,19478,2434
23.03.2020,,,22898,2771,,,,774,125,22124,2646
24.03.2020,,,26244,3346,,,,957,183,25287,3163
25.03.2020,,,29564,3320,,,,1085,128,28479,3192
26.03.2020,,,34067,4503,,,,1244,159,32823,4344
27.03.2020,,,38674,4607,,,,1436,192,37238,4415
28.03.2020,,,42783,4109,,,,1717,281,41066,3828
29.03.2020,,,46607,3824,,,,1905,188,44702,3636
30.03.2020,,,51419,4812,,,,2132,227,49287,4585
31.03.2020,,,55801,4382,,,,2347,215,53454,4167
1.04.2020,,,61178,5377,,,,2633,286,58545,5091
2.04.2020,,,66938,5760,,,,3149,516,63789,5244
3.04.2020,,,72901,5963,,,,3503,354,69398,5609
4.04.2020,,,80757,7856,,,,3834,331,76923,7525
5.04.2020,,,85467,4710,,,,4201,367,81266,4343
6.04.2020,,,92215,6748,,,,4532,331,87683,6417
7.04.2020,,,99284,7069,,,,5000,468,94284,6601
8.04.2020,,,107597,8313,,,,5341,341,102256,7972
9.04.2020,,,118295,10698,,,,5742,401,112553,10297
10.04.2020,,,129560,11265,,,,6088,346,123472,10919
11.04.2020,,,138007,8447,,,,6674,586,131333,7861
12.04.2020,,,143630,5623,,,,6932,258,136696,5363
13.04.2020,,,148321,4691,,,,7049,117,141272,4576
14.04.2020,,,156493,8172,,,,7408,359,149085,7813
15.04.2020,,,169071,12578,,,,7771,363,161300,12215
16.04.2020,,,179654,10583,,,,8214,443,171440,10140
17.04.2020,,,192960,13306,,,,8563,349,184397,12957
18.04.2020,,,204246,11286,,,,9083,520,195163,10766
19.04.2020,,,214236,9990,,,,9453,370,204783,9620
20.04.2020,,,224355,10119,,,,9737,284,214618,9835
21.04.2020,,,238799,14444,,,,10034,297,228765,14147
22.04.2020,,,250719,11920,,,,10346,312,240373,11608
23.04.2020,,,265201,14482,,,,10759,413,254442,14069
24.04.2020,,,278994,13793,,,,11067,308,267927,13485
25.04.2020,,,290633,11639,,,,11395,328,279238,11311
26.04.2020,,,297859,7226,,,,11761,366,286098,6860
27.04.2020,281787,,310744,12885,,,,12089,328,298655,12557
28.04.2020,294589,12802,324527,13783,,,,12415,326,312112,13457
29.04.2020,307098,12509,338027,13500,,,,12781,366,325246,13134
30.04.2020,322749,15651,354628,16601,,,,13105,324,341523,16277
1.05.2020,333362,10613,366013,11385,,,,13375,270,352638,11115
2.05.2020,342744,9382,375948,9935,,,,13693,318,362255,9617
3.05.2020,350048,7304,383804,7856,,,,13937,244,369867,7612
4.05.2020,359690,9642,394270,10466,,,,14242,305,380028,10161
5.05.2020,374694,15004,410468,16198,,,,14647,405,395821,15793
6.05.2020,389076,14382,425994,15526,,,,14898,251,411096,15275
7.05.2020,405282,16206,443506,17512,,,,15200,302,428306,17210
8.05.2020,421168,15886,460686,17180,,,,15510,310,445176,16870
9.05.2020,436641,15473,476904,16218,,,,15821,311,461083,15907
10.05.2020,450254,13613,491216,14312,,,,16206,385,475010,13927
11.05.2020,465976,15722,507776,16560,,,,16561,355,491215,16205
12.05.2020,485169,19193,528122,20346,,,,17062,501,511060,19845
13.05.2020,506733,21564,554357,26235,,,,17469,407,536888,25828
14.05.2020,526895,20162,576276,21919,,,,17850,381,558426,21538
15.05.2020,549792,22897,601394,25118,,,,18184,334,583210,24784
16.05.2020,567055,17263,620249,18855,,,,18394,210,601855,18645
17.05.2020,581471,14416,636046,15797,,,,18746,352,617300,15445
18.05.2020,597725,16254,653224,17178,,,,19080,334,634144,16844
19.05.2020,617967,20242,674861,21637,,,,19569,489,655292,21148
20.05.2020,639523,21556,697230,22369,,,,19983,414,677247,21955
21.05.2020,660800,21277,719571,22341,,,,20379,396,699192,21945
22.05.2020,687080,26280,750939,31368,,,,20838,459,730101,30909
23.05.2020,701969,14889,767441,16502,,,,21236,398,746205,16104
24.05.2020,712675,10706,779576,12135,,,,21440,204,758136,11931
25.05.2020,733701,21026,801753,22177,,,,21867,427,779886,21750
26.05.2020,753675,19974,824774,23021,,,,22303,436,802471,22585
27.05.2020,773625,19950,846732,21958,,,,22600,297,824132,21661
28.05.2020,798476,24851,873456,26724,,,,22964,364,850492,26360
29.05.2020,821811,23335,899069,25613,,,,23376,412,875693,25201
